"TIME (hh:mm:ss)	",PRESSURE (INH2O)  ,,,
0:01:30,0.22,,,
0:01:30,0.22,,,
0:01:30,0.22,,,
0:01:31,0.217,,,
0:01:31,0.217,,,
0:01:31,0.22,,,
0:01:31,0.223,,,
0:01:31,0.217,,,
0:01:32,0.217,,,
0:01:32,0.217,,,
0:01:32,0.217,,,
0:01:32,0.214,,,
0:01:32,0.214,,,
0:01:33,0.217,,,
0:01:33,0.214,,,
0:01:33,0.211,,,
0:01:33,0.211,,,
0:01:33,0.211,,,
0:01:34,0.211,,,
0:01:34,0.214,,,
0:01:34,0.214,,,
0:01:34,0.211,,,
0:01:34,0.217,,,
0:01:35,0.217,,,
0:01:35,0.214,,,
0:01:35,0.211,,,
0:01:35,0.214,,,
0:01:35,0.211,,,
0:01:36,0.214,,,
0:01:36,0.217,,,
0:01:36,0.214,,,
0:01:36,0.214,,,
0:01:36,0.214,,,
0:01:37,0.217,,,
0:01:37,0.214,,,
0:01:37,0.217,,,
0:01:37,0.214,,,
0:01:37,0.214,,,
0:01:38,0.214,,,
0:01:38,0.217,,,
0:01:38,0.214,,,
0:01:38,0.214,,,
0:01:38,0.214,,,
0:01:39,0.217,,,
0:01:39,0.217,,,
0:01:39,0.217,,,
0:01:39,0.217,,,
0:01:39,0.217,,,
0:01:40,0.217,,,
0:01:40,0.217,,,
0:01:40,0.22,,,
0:01:40,0.217,,,
0:01:40,0.22,,,
0:01:41,0.22,,,
0:01:41,0.22,,,
0:01:41,0.223,,,
0:01:41,0.226,,,
0:01:41,0.223,,,
0:01:42,0.223,,,
0:01:42,0.226,,,
0:01:42,0.229,,,
0:01:42,0.229,,,
0:01:42,0.235,,,
0:01:43,0.238,,,
0:01:43,0.235,,,
0:01:43,0.235,,,
0:01:43,0.238,,,
0:01:43,0.235,,,
0:01:44,0.235,,,
0:01:44,0.238,,,
0:01:44,0.241,,,
0:01:44,0.238,,,
0:01:44,0.238,,,
0:01:45,0.235,,,
0:01:45,0.235,,,
0:01:45,0.235,,,
0:01:45,0.238,,,
0:01:45,0.235,,,
0:01:46,0.235,,,
0:01:46,0.235,,,
0:01:46,0.235,,,
0:01:46,0.232,,,
0:01:46,0.229,,,
0:01:47,0.229,,,
0:01:47,0.232,,,
0:01:47,0.229,,,
0:01:47,0.232,,,
0:01:47,0.232,,,
0:01:48,0.232,,,
0:01:48,0.232,,,
0:01:48,0.229,,,
0:01:48,0.232,,,
0:01:48,0.229,,,
0:01:49,0.229,,,
0:01:49,0.229,,,
0:01:49,0.229,,,
0:01:49,0.226,,,
0:01:49,0.226,,,
0:01:50,0.229,,,
0:01:50,0.229,,,
0:01:50,0.226,,,
0:01:50,0.223,,,
0:01:50,0.223,,,
0:01:51,0.226,,,
0:01:51,0.223,,,
0:01:51,0.226,,,
0:01:51,0.226,,,
0:01:51,0.223,,,
0:01:52,0.226,,,
0:01:52,0.223,,,
0:01:52,0.223,,,
0:01:52,0.223,,,
0:01:52,0.223,,,
0:01:53,0.226,,,
0:01:53,0.223,,,
0:01:53,0.226,,,
0:01:53,0.223,,,
0:01:53,0.22,,,
0:01:54,0.22,,,
0:01:54,0.22,,,
0:01:54,0.22,,,
0:01:54,0.22,,,
0:01:54,0.22,,,
0:01:55,0.22,,,
0:01:55,0.217,,,
0:01:55,0.22,,,
0:01:55,0.22,,,
0:01:55,0.22,,,
0:01:56,0.22,,,
0:01:56,0.22,,,
0:01:56,0.223,,,
0:01:56,0.22,,,
0:01:56,0.217,,,
0:01:57,0.22,,,
0:01:57,0.22,,,
0:01:57,0.217,,,
0:01:57,0.217,,,
0:01:57,0.217,,,
0:01:58,0.214,,,
0:01:58,0.217,,,
0:01:58,0.217,,,
0:01:58,0.22,,,
0:01:58,0.217,,,
0:01:59,0.217,,,
0:01:59,0.217,,,
0:01:59,0.214,,,
0:01:59,0.217,,,
0:01:59,0.214,,,
0:02:00,0.217,,,
0:02:00,0.214,,,
0:02:00,0.214,,,
0:02:00,0.214,,,
0:02:00,0.217,,,
0:02:01,0.22,,,
0:02:01,0.214,,,
0:02:01,0.217,,,
0:02:01,0.217,,,
0:02:01,0.217,,,
0:02:02,0.217,,,
0:02:02,0.217,,,
0:02:02,0.217,,,
0:02:02,0.217,,,
0:02:02,0.214,,,
0:02:03,0.217,,,
0:02:03,0.214,,,
0:02:03,0.214,,,
0:02:03,0.214,,,
0:02:03,0.214,,,
0:02:04,0.214,,,
0:02:04,0.217,,,
0:02:04,0.217,,,
0:02:04,0.214,,,
0:02:04,0.214,,,
0:02:05,0.214,,,
0:02:05,0.214,,,
0:02:05,0.214,,,
0:02:05,0.214,,,
0:02:05,0.214,,,
0:02:06,0.214,,,
0:02:06,0.214,,,
0:02:06,0.217,,,
0:02:06,0.214,,,
0:02:06,0.214,,,
0:02:07,0.214,,,
0:02:07,0.217,,,
0:02:07,0.211,,,
0:02:07,0.214,,,
0:02:07,0.214,,,
0:02:08,0.217,,,
0:02:08,0.214,,,
0:02:08,0.214,,,
0:02:08,0.217,,,
0:02:08,0.214,,,
0:02:09,0.217,,,
0:02:09,0.22,,,
0:02:09,0.22,,,
0:02:09,0.22,,,
0:02:09,0.217,,,
0:02:10,0.214,,,
0:02:10,0.217,,,
0:02:10,0.214,,,
0:02:10,0.217,,,
0:02:10,0.214,,,
0:02:11,0.214,,,
0:02:11,0.217,,,
0:02:11,0.214,,,
0:02:11,0.217,,,
0:02:11,0.214,,,
0:02:12,0.217,,,
0:02:12,0.217,,,
0:02:12,0.217,,,
0:02:12,0.214,,,
0:02:12,0.217,,,
0:02:13,0.217,,,
0:02:13,0.217,,,
0:02:13,0.214,,,
0:02:13,0.214,,,
0:02:13,0.217,,,
0:02:14,0.211,,,
0:02:14,0.211,,,
0:02:14,0.217,,,
0:02:14,0.211,,,
0:02:14,0.211,,,
0:02:15,0.211,,,
0:02:15,0.214,,,
0:02:15,0.211,,,
0:02:15,0.214,,,
0:02:15,0.211,,,
0:02:16,0.214,,,
0:02:16,0.217,,,
0:02:16,0.214,,,
0:02:16,0.217,,,
0:02:16,0.217,,,
0:02:17,0.217,,,
0:02:17,0.217,,,
0:02:17,0.211,,,
0:02:17,0.217,,,
0:02:17,0.214,,,
0:02:18,0.217,,,
0:02:18,0.217,,,
0:02:18,0.217,,,
0:02:18,0.214,,,
0:02:18,0.214,,,
0:02:19,0.214,,,
0:02:19,0.211,,,
0:02:19,0.214,,,
0:02:19,0.214,,,
0:02:19,0.211,,,
0:02:20,0.211,,,
0:02:20,0.214,,,
0:02:20,0.211,,,
0:02:20,0.211,,,
0:02:20,0.211,,,
0:02:21,0.214,,,
0:02:21,0.211,,,
0:02:21,0.214,,,
0:02:21,0.214,,,
0:02:21,0.217,,,
0:02:22,0.214,,,
0:02:22,0.214,,,
0:02:22,0.214,,,
0:02:22,0.217,,,
0:02:22,0.214,,,
0:02:23,0.214,,,
0:02:23,0.214,,,
0:02:23,0.211,,,
0:02:23,0.217,,,
0:02:23,0.211,,,
0:02:24,0.214,,,
0:02:24,0.217,,,
0:02:24,0.214,,,
0:02:24,0.214,,,
0:02:24,0.214,,,
0:02:25,0.211,,,
0:02:25,0.214,,,
0:02:25,0.214,,,
0:02:25,0.214,,,
0:02:25,0.214,,,
0:02:26,0.214,,,
0:02:26,0.217,,,
0:02:26,0.214,,,
0:02:26,0.217,,,
0:02:26,0.22,,,
0:02:27,0.22,,,
0:02:27,0.22,,,
0:02:27,0.223,,,
0:02:27,0.223,,,
0:02:27,0.226,,,
0:02:28,0.226,,,
0:02:28,0.226,,,
0:02:28,0.229,,,
0:02:28,0.229,,,
0:02:28,0.229,,,
0:02:29,0.226,,,
0:02:29,0.229,,,
0:02:29,0.226,,,
0:02:29,0.229,,,
0:02:29,0.229,,,
0:02:30,0.229,,,
0:02:30,0.226,,,
0:02:30,0.229,,,
0:02:30,0.226,,,
